title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,ISBN_13
Robust Python: Write Clean and Maintainable Code, Patrick Viafore,32.99,380,4.5,57.0,0.73,0.15,0.06,0.02,0.04,"O'Reilly Media; 1st edition (August 3, 2021)",978-1098100667
"EXCEL DATA ANALYSIS: THE ULTIMATE PRACTICAL GUIDE TO MASTERING DATA ANALYSIS USING EXCEL DATA & STATISTICAL TABLES, PIVOT TABLES, AND FINANCIAL ANALYSIS TOOLS", JOE WEBINAR,14.0,175,4.6,6.0,0.65,0.35,0.0,0.0,0.0,"Independently published (February 21, 2022)",979-8420836248
Learning Spark: Lightning-Fast Data Analytics," Jules Damji, Brooke Wenig, et al.",40.99,397,4.7,171.0,0.8,0.16,0.02,0.02,0.01,"O'Reilly Media; 2nd edition (August 25, 2020)",978-1492050049
Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning," Benjamin Bengfort, Rebecca Bilbro, et al.",44.99,332,4.4,76.0,0.63,0.25,0.04,0.08,0.0,"O'Reilly Media; 1st edition (July 17, 2018)",978-1491963043
"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation", Tarek A. Atwan,49.99,630,4.8,16.0,0.78,0.22,0.0,0.0,0.0,"Packt Publishing (June 30, 2022)",978-1801075541
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data", Anthony DeBarros,27.99,464,4.8,84.0,0.86,0.08,0.03,0.03,0.0,"No Starch Press; 2nd edition (January 25, 2022)", 
Dyadic Data Analysis (Methodology in the Social Sciences),,55.32,458,4.4,24.0,0.73,0.12,0.07,0.07,0.0,"The Guilford Press; 1st edition (November 26, 2020)",978-1462546138
Exploratory Data Analysis (Classic Version) (Pearson Modern Classic), John Tukey,105.99,720,4.9,10.0,0.94,0.06,0.0,0.0,0.0,"Pearson; 1st edition (April 18, 2019)",978-0134995458
Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale," Gwen Shapira, Todd Palino, et al.",31.99,488,4.8,100.0,0.81,0.16,0.03,0.0,0.0,"O'Reilly Media; 2nd edition (November 30, 2021)", 
An Introduction to Statistics and Data Analysis Using Stata: From Research Design to Final Report," Lisa Daniels,  and , Nicholas W. Minot",75.24,392,4.6,32.0,0.69,0.22,0.09,0.0,0.0,"SAGE Publications, Inc; 1st edition (January 29, 2019)",978-1506371832
"Microsoft 365 Excel: The Only App That Matters: Calculations, Analytics, Modeling, Data Analysis and Dashboard Reporting for the New Era of Dynamic Data Driven Decision Making & Insight", Mike Girvin,34.95,824,5.0,63.0,1.0,0.0,0.0,0.0,0.0,"Holy Macro! Books (August 1, 2022)",978-1615470709
Naked Statistics: Stripping the Dread from the Data,,1.69,304,4.6,2362.0,0.72,0.19,0.06,0.02,0.01,"W. W. Norton & Company; 1st edition (January 13, 2014)",978-0393347777
Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures," Neal Ford, Mark Richards, et al.",30.99,459,4.6,232.0,0.76,0.14,0.05,0.02,0.02,"O'Reilly Media; 1st edition (November 30, 2021)", 
Analyzing Social Networks Using R," Stephen P. Borgatti, Martin G. Everett, et al.",52.21,384,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"SAGE Publications Ltd; 1st edition (July 20, 2022)",978-1529722475
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises", Mark Reed,22.58,346,4.6,281.0,0.77,0.13,0.05,0.03,0.02,"Independently published (July 10, 2022)",979-8840191583
"Data Analysis with Python: Introducing NumPy, Pandas, Matplotlib, and Essential Elements of Python Programming (English Edition)", Rituraj Dixit,29.95,276,3.0,2.0,0.5,0.5,0.0,0.0,0.0,"BPB Publications (August 20, 2022)",978-9355510655
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud"," Paul Deitel,  and , Harvey Deitel",97.99,880,4.7,297.0,0.82,0.1,0.02,0.03,0.02,"Pearson; 1st edition (February 15, 2019)",978-0135404676
"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python", Stefanie Molin,21.09,716,4.5,60.0,0.76,0.11,0.03,0.03,0.07,"Packt Publishing; 1st edition (July 26, 2019)",
Thematic Analysis: A Practical Guide," Virginia Braun,  and , Victoria Clarke",48.99,376,4.9,229.0,0.9,0.07,0.02,0.01,0.0,"SAGE Publications Ltd; 1st edition (December 15, 2021)",978-1473953246
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),,71.91,745,4.3,42.0,0.7,0.12,0.06,0.07,0.06,"Springer; 2nd ed. 2015 edition (April 22, 2015)",978-1493926138
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners", Al Sweigart,26.49,592,4.7,2672.0,0.82,0.12,0.03,0.01,0.01,"No Starch Press; 2nd edition (November 12, 2019)",-34%
Data Structures and Algorithm Analysis in Java: International Edition, Mark Allen Weiss,69.0,640,4.4,101.0,0.73,0.12,0.05,0.05,0.05,"Pearson Education; International ed of 3rd revised ed edition (January 1, 2012)", 
