title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,publisher,ISBN_13
POWER BI FOR BEGINNERS 2022: A SIMPLE AND DIRECT GUIDE TO DATA ANALYSIS USING POWER BI, RICHARD STEVE,9.99,49,4.4,7.0,0.53,0.3,0.17,0.0,0.0,"Independently published (April 30, 2022)",979-8814257475
"Accelerated Testing: Statistical Models, Test Plans, and Data Analysis (Wiley Series in Probability and Statistics)", Wayne B. Nelson,37.0,616,4.5,16.0,0.7,0.21,0.09,0.0,0.0,"Wiley-Interscience; 1st edition (February 1, 1990)",978-0471522775
Analysis of Economic Data, Gary Koop,62.78,272,4.0,14.0,0.66,0.18,0.16,0.0,0.0,"Wiley; 4th edition (September 23, 2013)",978-1118472538
Approximation Theory and Algorithms for Data Analysis (Texts in Applied Mathematics Book 68),,59.99,368,4.5,2.0,0.5,0.5,0.0,0.0,0.0,"Springer; 1st ed. 2018 edition (December 14, 2018)",
Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics (MindTap Course List), Cliff Ragsdale,153.5,864,4.4,3.0,0.38,0.62,0.0,0.0,0.0,"Cengage Learning; 9th edition (September 28, 2021)",978-0357132098
Probability and Computing: Randomization and Probabilistic Techniques in Algorithms and Data Analysis," Michael Mitzenmacher,  and , Eli Upfal",73.98,484,4.5,28.0,0.7,0.17,0.04,0.09,0.0,"Cambridge University Press; 2nd edition (July 3, 2017)",978-1107154889
The Algorithm Design Manual (Texts in Computer Science),,73.99,810,4.5,260.0,0.75,0.1,0.07,0.03,0.04,"Springer; 3rd ed. 2020 edition (October 6, 2020)",978-3030542559
"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)",,35.95,624,4.3,40.0,0.62,0.17,0.09,0.12,0.0,"Dover Publications; Third edition (September 14, 2011)",978-0486485829
Guerrilla Data Analysis Using Microsoft Excel: 2nd Edition Covering Excel 2010/2013," Oz du Soleil,  and , Bill Jelen",24.95,180,4.5,45.0,0.76,0.07,0.1,0.07,0.0,"Holy Macro! Books; Second Edition, Second edition (May 1, 2015)","  Second Edition, Second edition "
"Learning the Pandas Library: Python Tools for Data Munging, Analysis, and Visual",,19.99,212,4.2,78.0,0.57,0.24,0.07,0.05,0.07,"CreateSpace Independent Publishing Platform; 1st edition (June 1, 2016)",978-1533598240
Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists, Philipp K. Janert,39.99,540,4.3,73.0,0.62,0.2,0.07,0.07,0.04,"O'Reilly Media; 1st edition (December 14, 2010)",978-0596802356
The Art of Data Analysis: How to Answer Almost Any Question Using Basic Statistics, Kristin H. Jarman,63.52,192,4.7,29.0,0.77,0.16,0.07,0.0,0.0,"Wiley; 1st edition (May 13, 2013)",978-1118411315
Malware Analysis and Detection Engineering: A Comprehensive Approach to Detect and Analyze Modern Malware," Abhijit Mohanta,  and , Anoop Saldanha",68.86,948,4.7,81.0,0.82,0.12,0.04,0.02,0.0,"Apress; 1st ed. edition (September 23, 2020)",978-1484261927
Spatial Analysis with R, Tonny J. Oyana,101.01,354,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"CRC Press; 2nd edition (September 1, 2020)", 
R Graphics Cookbook: Practical Recipes for Visualizing Data, Winston Chang,54.97,444,4.5,82.0,0.74,0.14,0.04,0.06,0.02,"O'Reilly Media; 2nd edition (November 30, 2018)",978-1491978603
A History of Data Visualization and Graphic Communication," Michael Friendly,  and , Howard Wainer",48.94,320,4.6,10.0,0.57,0.43,0.0,0.0,0.0,"Harvard University Press; Illustrated edition (June 8, 2021)", 
Adjustment Computations: Spatial Data Analysis, Charles D. Ghilani,104.95,720,4.5,20.0,0.69,0.2,0.08,0.03,0.0,"Wiley; 6th edition (October 23, 2017)",978-1119385981
"Microsoft Office 365 for Beginners: 12 Books In 1. The Ultimate Guide to Master the Microsoft Suite the Quick & Easy Way | Including Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams and More", Jamie Keet,12.99,300,4.9,410.0,0.97,0.03,0.01,0.0,0.0,;, 
Practical Finite Element Simulations with SOLIDWORKS 2022: An illustrated guide to performing static analysis with SOLIDWORKS Simulation, Khameel B. Mustapha,46.99,480,5.0,4.0,1.0,0.0,0.0,0.0,0.0,"Packt Publishing (February 14, 2022)",978-1801819923
DATA ANALYTICS: A Comprehensive Beginner’s Guide To Learn About The Realms Of Data Analytics From A-Z,,19.99,153,4.2,27.0,0.54,0.22,0.19,0.05,0.0,"Independently published (April 26, 2020)",979-8640455267
Data Analysis in High Energy Physics: A Practical Guide to Statistical Methods," Olaf Behnke, Kevin Kröninger, et al.",89.0,658,4.8,9.0,0.77,0.23,0.0,0.0,0.0,"Wiley-VCH; 1st edition (August 30, 2013)",
Longitudinal Data Analysis," Robert D. Gibbons,  and , Donald Hedeker",155.57,360,4.9,8.0,0.92,0.08,0.0,0.0,0.0,"Wiley-Interscience; 1st edition (April 7, 2006)",978-0471420279
"The Definitive Guide to DAX: Business Intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel Second Edition (Business Skills)",,43.99,768,4.7,1155.0,0.83,0.12,0.03,0.01,0.01,"Microsoft Press; 2nd edition (July 2, 2019)",978-1509306978
Statistical Analysis of Network Data with R (Use R!),,76.19,242,4.7,8.0,0.72,0.28,0.0,0.0,0.0,"Springer; 2nd ed. 2020 edition (June 3, 2020)",978-3030441289
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems", Martin Kleppmann,23.37,611,4.8,3443.0,0.85,0.09,0.03,0.01,0.02,"O'Reilly Media; 1st edition (May 2, 2017)",978-1449373320
Hands-on JavaScript for Python Developers: Leverage your Python knowledge to quickly learn JavaScript and advance your web development career, Sonyl Nagale,29.99,410,4.5,16.0,0.76,0.15,0.09,0.0,0.0,"Packt Publishing (September 25, 2020)", 
Excel: Pivot Tables & Charts (Quick Study Computer), Inc. BarCharts,5.95,6,4.6,1527.0,0.74,0.15,0.07,0.02,0.02,"QuickStudy; Lam Rfc Cr edition (May 31, 2011)",978-1423216438
Building Big Data Pipelines with Apache Beam: Use a single programming model for both batch and stream data processing, Jan Lukavsky,46.99,342,4.0,12.0,0.58,0.18,0.12,0.12,0.0,"Packt Publishing (January 21, 2022)", 
Data Analysis with Mplus (Methodology in the Social Sciences),,39.49,305,4.8,32.0,0.78,0.22,0.0,0.0,0.0,"The Guilford Press; Illustrated edition (December 5, 2012)",
Risk Assessment and Decision Analysis with Bayesian Networks," Norman Fenton,  and , Martin Neil",87.53,660,4.5,40.0,0.76,0.13,0.03,0.04,0.04,"Chapman and Hall/CRC; 2nd edition (September 12, 2018)",978-1138035119
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R," Vitor Bianchi Lanzetta, Nataraj Dasgupta, et al.",39.99,420,4.1,5.0,0.37,0.4,0.23,0.0,0.0,"Packt Publishing (November 30, 2018)", 
Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques, Mike Grigsby,30.16,240,4.3,53.0,0.66,0.13,0.1,0.08,0.03,"Kogan Page; 2nd edition (April 24, 2018)",978-0749482169
"How Qualitative Data Analysis Happens: Moving Beyond ""Themes Emerged"""," Áine Humble,  and , Elise Radina",35.09,238,4.4,5.0,0.71,0.29,0.0,0.0,0.0,"Routledge; 1st edition (December 17, 2018)",978-1138044678
Python NumPy for Beginners: NumPy Specialization for Data Science (Python for Beginners in Data Science and Data Analysis Book 1),,9.99,220,3.7,6.0,0.43,0.19,0.19,0.19,0.0,"AI Publishing LLC (January 17, 2022)",
Python Programming for Beginners: 2 Books in 1 - The Ultimate Step-by-Step Guide To Learn Python Programming Quickly with Practical Exercises (Computer Programming),,19.99,201,4.7,196.0,0.85,0.09,0.03,0.02,0.01,"Independently published (July 21, 2022)",979-8841846581
Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language, Dylan Penny,25.1,330,4.6,105.0,0.79,0.12,0.02,0.01,0.06,"Independently published (January 22, 2021)", 
Categorical Data Analysis, Alan Agresti,113.19,752,4.7,61.0,0.85,0.06,0.06,0.03,0.0,"Wiley; 3rd edition (December 3, 2012)",$113.19 
Data-Driven HR: How to Use Analytics and Metrics to Drive Performance, Bernard Marr,6.99,264,4.3,62.0,0.63,0.2,0.04,0.08,0.05,"Kogan Page; 1st edition (April 24, 2018)",978-0749482466
The Pandas Workshop: A comprehensive guide to using Python for data analysis with real-world case studies," Blaine Bateman, Saikat Basak, et al.",49.99,744,4.6,13.0,0.71,0.19,0.1,0.0,0.0,"Packt Publishing (June 17, 2022)",978-1800208933
"Statistical Methods for Categorical Data Analysis, 2nd Edition"," Yu Xie,  and , Daniel Powers",92.85,200,4.8,10.0,0.84,0.16,0.0,0.0,0.0,"Emerald Publishing; 2nd edition (October 1, 2008)", 
"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition"," Avinash Navlani, Armando Fandango, et al.",34.99,478,4.7,50.0,0.83,0.08,0.06,0.03,0.0,"Packt Publishing; 3rd ed. edition (February 5, 2021)", 
R for Data Analysis in easy steps - R Programming essentials,,12.99,192,4.3,136.0,0.59,0.2,0.14,0.03,0.04,"In Easy Steps Limited (March 13, 2018)",978-1840787955
"Learning Tableau 2022: Create effective data visualizations, build interactive visual analytics, and improve your data storytelling capabilities, 5th Edition"," Joshua N. Milligan, Blair Hutchinson, et al.",43.09,566,4.8,29.0,0.94,0.06,0.0,0.0,0.0,"Packt Publishing; 5th ed. edition (August 26, 2022)",978-1801072328
"Data Science in Context: Foundations, Challenges, Opportunities"," Alfred Z. Spector, Peter Norvig, et al.",39.99,335,5.0,3.0,1.0,0.0,0.0,0.0,0.0,"Cambridge University Press; New edition (October 20, 2022)", 
"Data Structures and Algorithm Analysis in Java, Third Edition (Dover Books on Computer Science)",,10.64,608,3.7,22.0,0.47,0.2,0.08,0.06,0.19,"Dover Publications; Third edition (September 14, 2011)",978-0486485812
The Statistical Sleuth: A Course in Methods of Data Analysis," Fred Ramsey,  and , Daniel Schafer",127.98,784,4.0,73.0,0.58,0.16,0.07,0.08,0.1,"Cengage Learning; 3rd edition (May 2, 2012)",978-1133490678
Deep Learning: A Comprehensive Guide to Python Coding and Programming Machine Learning and Neural Networks for Data Analysis (Python Programming Deep Learning),,4.97,287,4.7,22.0,0.74,0.19,0.07,0.0,0.0,,
"Bayesian Data Analysis in Ecology Using Linear Models with R, BUGS, and Stan"," Franzi Korner-Nievergelt, Tobias Roth, et al.",59.96,328,4.7,5.0,0.7,0.3,0.0,0.0,0.0,"Academic Press; 1st edition (April 23, 2015)",978-0128013700
Pandas for Everyone: Python Data Analysis (Addison-Wesley Data & Analytics Series),,17.27,406,4.5,274.0,0.71,0.15,0.09,0.02,0.03,"Addison-Wesley Professional; 1st edition (December 15, 2017)",
"Introduction to Algorithms, 3rd Edition (The MIT Press)"," Thomas H. Cormen, Charles E. Leiserson, et al.",78.49,1292,4.6,2240.0,0.78,0.1,0.06,0.02,0.04,"The MIT Press; 3rd edition (July 31, 2009)",978-0262033848
Data Analysis with Microsoft Power BI, Brian Larson,42.7,544,3.8,12.0,0.47,0.18,0.11,0.14,0.1,"McGraw Hill; 1st edition (December 27, 2019)", 
Escape from Model Land: How Mathematical Models Can Lead Us Astray and What We Can Do About It, Erica Thompson,30.0,256,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"Basic Books (December 6, 2022)",978-1541600980
"Mastering pandas: A complete guide to pandas, from installation to advanced data analysis techniques, 2nd Edition", Ashish Kumar,21.09,1004,4.4,11.0,0.51,0.37,0.13,0.0,0.0,"Packt Publishing; 2nd edition (October 25, 2019)",
Excel Tips & Tricks (Quick Study Computer), Inc. BarCharts,5.95,6,4.5,1984.0,0.72,0.16,0.08,0.02,0.03,"QuickStudy; Lam Crds edition (November 18, 2008)",978-1423205425
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx, Paul Houghton,44.99,366,4.3,10.0,0.73,0.13,0.14,0.0,0.0,"Packt Publishing (June 30, 2022)", 
Expert Data Modeling with Power BI: Get the best out of Power BI by building optimized data models for reporting and business needs," Soheil Bakhshi,  and , Christian Wade",46.53,612,4.8,50.0,0.8,0.2,0.0,0.0,0.0,"Packt Publishing (June 11, 2021)",-22%
"The Esri Guide to GIS Analysis, Volume 1: Geographic Patterns and Relationships (The Esri Guide to GIS Analysis, 1)",,31.99,312,4.6,26.0,0.8,0.09,0.06,0.05,0.0,"Esri Press; Second edition (May 26, 2020)", 
Data Visualization: A Practical Introduction, Kieran Healy,42.0,296,4.6,206.0,0.78,0.12,0.08,0.01,0.01,"Princeton University Press; 1st edition (December 18, 2018)", 
"Applied Spatial Data Analysis with R (Use R!, 10)",,74.04,423,4.5,29.0,0.64,0.22,0.14,0.0,0.0,"Springer; 2nd ed. 2013 edition (June 21, 2013)",978-1461476177
Bayesian Data Analysis for the Behavioral and Neural Sciences, Todd E. Hudson,48.16,612,4.0,3.0,0.34,0.33,0.33,0.0,0.0,"Cambridge University Press (August 26, 2021)",978-1108812900
Root Cause Analysis, Matthew A. Barsalou,34.95,154,3.9,26.0,0.56,0.15,0.06,0.12,0.1,"Routledge; 1st edition (January 19, 2015)",978-1482258790
"The Analysis of Biological Data, Second Edition"," Michael C. Whitlock,  and , Dolph Schluter",87.0,768,4.5,183.0,0.74,0.14,0.08,0.01,0.04,"Roberts and Company Publishers; 2nd edition (June 2, 2014)",978-1936221486
"Learning Geospatial Analysis with Python: Understand GIS fundamentals and perform remote sensing data analysis using Python 3.7, 3rd Edition", Joel Lawhead,51.99,456,4.2,29.0,0.61,0.18,0.11,0.05,0.05,"Packt Publishing (September 27, 2019)", 
Python Programming for Beginners: The #1 Python Programming Crash Course to Learn Python Coding Well and Fast (with Hands-On Exercises), Codeone Publishing,19.16,126,4.7,386.0,0.87,0.07,0.01,0.02,0.03,"Independently published (October 31, 2022)",979-8361503742
Qualitative Data Analysis: An Introduction, Carol Grbich,43.15,344,4.5,23.0,0.72,0.15,0.07,0.07,0.0,"SAGE Publications Ltd; Second edition (December 6, 2012)", 
Microsoft Excel Data Analysis and Business Modeling (Business Skills), Wayne Winston,30.51,864,4.5,423.0,0.75,0.12,0.09,0.02,0.02,"Microsoft Press; 5th edition (December 9, 2016)",978-1509304219
"The Data Revolution: A Critical Analysis of Big Data, Open Data and Data Infrastructures", Rob Kitchin,42.0,376,5.0,3.0,1.0,0.0,0.0,0.0,0.0,"SAGE Publications Ltd; Second edition (May 31, 2022)",The Data Revolution
Bioinformatics Data Skills: Reproducible and Robust Research with Open Source Tools, Vince Buffalo,45.99,536,4.6,116.0,0.74,0.17,0.05,0.03,0.01,"O'Reilly Media; 1st edition (August 18, 2015)",978-1449367374
Big Data Analysis with Python: Combine Spark and Python to unlock the powers of parallel computing and machine learning," Ivan Marin, Ankit Shukla, et al.",13.29,278,3.7,5.0,0.68,0.32,0.0,0.0,0.0,"Packt Publishing; 1st edition (April 10, 2019)",
Be Data Literate: The Data Literacy Skills Everyone Needs To Succeed, Jordan Morrow,15.99,240,4.3,107.0,0.63,0.19,0.04,0.1,0.04,"Kogan Page; 1st edition (March 30, 2021)",978-1789668018
Microsoft Office 365 for Beginners 2023: [10 in 1] The All-in-One Guide to Mastering the Whole Suite from Excel to Access | Take Full Advantage of Their Potential Even as a Non-Tech-Savvy, Jeff Owen,20.97, for creating superior text  in just a few minutes,4.9,268.0,0.9,0.09,0.01,0.01,0.0,"Independently published (October 23, 2022)",979-8359747660
Bayesian Artificial Intelligence (Chapman & Hall/CRC Computer Science & Data Analysis Book 2),,52.17,491,4.1,6.0,0.38,0.34,0.29,0.0,0.0,"CRC Press; 2nd edition (December 16, 2010)",
Cloud Scale Analytics with Azure Data Services: Build modern data warehouses on Microsoft Azure, Patrik Borosch,57.99,520,4.8,7.0,0.78,0.22,0.0,0.0,0.0,"Packt Publishing (July 23, 2021)",978-1800562936
"Excel 2023: The Most Updated Bible to Master Microsoft Excel from Zero To Pro in Less than 5 Minutes A Day. Discover All the Formulas, Functions & Charts with Step-by-Step Tutorials, Tips & Tricks", Andrew J. Nash,16.99,201,4.9,418.0,0.94,0.04,0.01,0.01,0.0,"Independently published (October 18, 2022)",979-8358890916
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book", TechExp Academy,24.9,400,4.1,273.0,0.6,0.15,0.12,0.05,0.08,"Independently published (December 24, 2021)", 
Data Structures & Algorithm Analysis in C++, Mark Weiss,193.32,664,4.2,93.0,0.63,0.15,0.11,0.03,0.08,"Pearson; 4th edition (June 13, 2013)",978-0132847377
"Introduction to Python in Earth Science Data Analysis: From Descriptive Statistics to Machine Learning (Springer Textbooks in Earth Sciences, Geography and Environment)",,48.15,244,4.6,3.0,0.62,0.38,0.0,0.0,0.0,"Springer; 1st ed. 2021 edition (September 17, 2021)",978-3030780548
"A Common-Sense Guide to Data Structures and Algorithms, Second Edition: Level Up Your Core Programming Skills", Jay Wengrow,39.99,508,4.7,570.0,0.81,0.14,0.03,0.01,0.01,"Pragmatic Bookshelf; 2nd edition (September 15, 2020)",978-1680507225
"The Dropout Multi-Millionaire: 37 Business Lessons on How to Succeed in Business With No Money, No Education and No Clue", Brian  WIll,0.99,162,4.6,235.0,0.75,0.16,0.06,0.01,0.01,"Bookmark Publishing House (April 30, 2021)",
System Design Interview: The Ultimate Guide to Master All the Fundamentals of System Design & to Get Ready for the Interview | Including More Than 30 Questions & Case Studies to Practice, Liam DeSantis,23.99,114,4.9,254.0,0.93,0.07,0.0,0.0,0.0,"Independently published (November 30, 2022)",979-8366393140
Designing Cloud Data Platforms," Danil Zburivsky,  and , Lynda Partner",65.11,336,4.6,28.0,0.69,0.26,0.05,0.0,0.0,"Manning (April 20, 2021)",978-1617296444
"Statistics, Data Analysis, and Decision Modeling", James Evans,250.63,552,4.1,82.0,0.66,0.07,0.11,0.06,0.1,"Pearson; 5th edition (January 18, 2012)",978-0132744287
Learn Microsoft PowerApps: Build customized business applications without writing any code, Matthew Weston,39.89,560,4.1,169.0,0.54,0.24,0.1,0.04,0.08,"Packt Publishing (November 29, 2019)",978-1789805826
Excel 2022: The Ultimate all-in-one crash course for beginners to master Everything of Excel 2022. The Step-by-Step Advanced skills workbook on how to create & manipulate Power Excel Formulas & Grids, ROBERT  J GREEN,16.97,138,4.3,91.0,0.69,0.11,0.11,0.03,0.06,"Independently published (February 16, 2022)",979-8418330888
Humanities Data Analysis: Case Studies with Python," Folgert Karsdorp, Mike Kestemont, et al.",19.31,360,5.0,5.0,1.0,0.0,0.0,0.0,0.0,"Princeton University Press (January 12, 2021)",978-0691172361
"Excel 2023: The Easiest Way to Master Microsoft Excel in 7 Days. 200 Clear Illustrations and 100+ Exercises in This Step-by-Step Guide Designed for Absolute Newbie. Discover Formula, Charts and More", Leonard Webb,14.99,159,5.0,335.0,0.99,0.01,0.0,0.0,0.0,"Independently published (October 28, 2022)",979-8360854005
Data Analysis from Scratch Python: 2 Books in 1: Basic Data Analysis and Time Series Analysis in Finance using Python (Financial Data Analytics Using Python),,24.99,333,5.0,3.0,1.0,0.0,0.0,0.0,0.0,,
Crime Analysis with Crime Mapping, Rachel Boba Santos,94.84,504,4.6,3.0,0.62,0.38,0.0,0.0,0.0,"SAGE Publications, Inc; Fifth edition (February 22, 2022)",978-1071831403
Design and Analysis of Experiments with R (Chapman & Hall/CRC Texts in Statistical Science),,103.32,620,4.5,36.0,0.78,0.11,0.04,0.07,0.0,"Chapman and Hall/CRC; 1st edition (December 17, 2014)",978-1439868133
Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS),,53.99,360,4.6,9.0,0.64,0.36,0.0,0.0,0.0,"SAGE Publications Ltd; 1st edition (February 4, 2021)",978-1526449368
Applied Longitudinal Data Analysis: Modeling Change and Event Occurrence," Judith D. Singer,  and , John B. Willett",80.11,644,4.5,55.0,0.79,0.07,0.04,0.06,0.04,"Oxford University Press; 1st edition (March 27, 2003)", 
Python and R for the Modern Data Scientist: The Best of Both Worlds," Rick J. Scavetta,  and , Boyan Angelov",39.49,198,4.0,18.0,0.55,0.13,0.16,0.08,0.08,"O'Reilly Media; 1st edition (July 13, 2021)",978-1492093404
The Data Lakehouse Architecture," Bill Inmon,  and , Ranjeet Srivastava",49.95,162,3.0,1.0,1.0,0.0,0.0,0.0,0.0,"Technics Publications (November 7, 2022)",978-1634622783
Econometric Analysis of Panel Data (Springer Texts in Business and Economics),,47.85,444,4.7,7.0,0.68,0.32,0.0,0.0,0.0,"Springer; 6th ed. 2021 edition (March 16, 2021)", 
Artificial Intelligence in Finance: A Python-Based Guide, Yves Hilpisch,45.99,478,4.4,44.0,0.7,0.15,0.03,0.06,0.06,"O'Reilly Media; 1st edition (November 3, 2020)", 
"Excel: The Complete Illustrative Guide for Beginners to Learning any Fundamental, Formula, Function and Chart in Less than 5 Minutes with Simple and Real-Life Examples", Nigel Tillery,18.86,119,4.4,298.0,0.66,0.2,0.1,0.03,0.02,"Independently published (May 23, 2022)",979-8824373264
Topological Data Analysis for Genomics and Evolution: Topology in Biology," Raul Rabadan,  and , Andrew J. Blumberg",44.99,324,4.6,33.0,0.76,0.14,0.05,0.05,0.0,"Cambridge University Press; 1st edition (January 16, 2020)",978-1107159549
"Mathletics: How Gamblers, Managers, and Fans Use Mathematics in Sports, Second Edition"," Wayne L. Winston, Scott Nestler, et al.",18.99,608,4.7,29.0,0.8,0.11,0.04,0.04,0.0,"Princeton University Press; 2nd edition (February 22, 2022)", 
Everything Data Analytics-A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (All Things Data),,14.49,150,4.2,31.0,0.61,0.16,0.14,0.04,0.05,"Kenneth Michael Fornari (May 24, 2022)",978-1777967130
Data Analysis for Continuous School Improvement: For Continuous School Improvement, Victoria L. Bernhardt,46.06,426,4.6,248.0,0.74,0.14,0.09,0.02,0.02,"Routledge; 4th edition (August 8, 2017)",978-1138294622
An Introduction to Statistical Methods and Data Analysis," R. Lyman Ott,  and , Micheal T. Longnecker",154.94,1296,4.2,165.0,0.62,0.17,0.06,0.07,0.08,"Cengage Learning; 7th edition (June 11, 2015)",978-1305269477
Excel Formulas (Quick Study Computer), Inc. BarCharts,5.95,6,4.6,2451.0,0.73,0.15,0.08,0.02,0.02,"QuickStudy; Lam Rfc Cr edition (December 31, 2013)",978-1423221692
Hands-On Healthcare Data: Taming the Complexity of Real-World Data, Andrew Nguyen,57.28,242,5.0,1.0,1.0,0.0,0.0,0.0,0.0,"O'Reilly Media; 1st edition (September 20, 2022)",978-1098112929
Qualitative Data Analysis with ATLAS.ti, Susanne Friese,49.99,344,4.7,33.0,0.83,0.08,0.05,0.04,0.0,"SAGE Publications Ltd; Third edition (April 22, 2019)",978-1526458926
Excel 2023: How to Become a Master of Microsoft Excel in Less Than 7 Minutes a Day with the Most Updated Guide (Step-By-Step Tutorial) + Bonus: The 10 Most Essential Formulas Requested by any Company, Ken Shepard,17.9,201,4.9,180.0,0.92,0.06,0.02,0.0,0.0,"Independently published (October 12, 2022)",979-8357759511
Excel 2022: The Ultimate Guide for Beginners to Master Excel Functions and Formulas in Less than 5 Minutes with the Latest Step-by-Step Tutorials and Practical Examples. Includes Tips and Tricks, Barry Adams,17.95,149,4.3,104.0,0.6,0.2,0.14,0.02,0.03,"Independently published (October 10, 2022)",979-8357294340
"Excel: The Most Comprehensive Guide to Learn All Formulas and Functions in Just 1 WEEK with Step-by-Step Explanations, Practical Examples, & Picture Demonstrations.", Kevin Cooper,19.97,168,4.9,81.0,0.97,0.03,0.0,0.0,0.0,"Independently published (December 3, 2022)",979-8366746908
"The Decision Maker's Handbook to Data Science: A Guide for Non-Technical Executives, Managers, and Founders", Stylianos Kampakis,18.04,164,4.6,6.0,0.79,0.21,0.0,0.0,0.0,"Apress; 2nd ed. edition (November 27, 2019)",978-1484254936
"The Art of Statistical Thinking: Detect Misinformation, Understand the World Deeper, and Make Better Decisions. (Advanced Thinking Skills Book 3)",,4.99,178,4.4,13.0,0.5,0.39,0.11,0.0,0.0,"ARB Publications; 1st edition (October 13, 2022)",
The Analysis of Biological Data," Michael C. Whitlock,  and , Dolph Schluter",146.12,848,4.3,80.0,0.76,0.06,0.03,0.04,0.11,"W. H. Freeman; Third edition (January 6, 2020)",978-1319226237
Python for Data Science For Dummies," John Paul Mueller,  and , Luca Massaron",19.89,496,4.4,194.0,0.62,0.22,0.09,0.03,0.03,"For Dummies; 2nd edition (February 27, 2019)", 
Blueprints for Text Analytics Using Python: Machine Learning-Based Solutions for Common Real World (NLP) Applications," Jens Albrecht, Sidharth Ramachandran, et al.",48.99,Extract data from APIs and web ,4.8,36.0,0.82,0.18,0.0,0.0,0.0,"O'Reilly Media; 1st edition (December 29, 2020)", 
Data Analysis in Qualitative Research: Theorizing with Abductive Analysis," Stefan Timmermans,  and , Iddo Tavory",28.1,208,4.4,3.0,0.36,0.64,0.0,0.0,0.0,"University of Chicago Press; First edition (June 6, 2022)",978-0226817736
"The Economics of Data, Analytics, and Digital Transformation: The theorems, laws, and empowerments to guide your organization’s digital transformation"," Bill Schmarzo,  and , Dr. Kirk Borne",17.84,260,4.2,96.0,0.59,0.2,0.11,0.05,0.06,"Packt Publishing; 1st edition (November 30, 2020)",
The Data Governance Guidebook and Playbook: By a Practitioner for Practitioners, Kimberly Wienzierl,29.95,118,4.3,18.0,0.57,0.23,0.12,0.07,0.0,"Technics Publications; First edition (October 10, 2021)",978-1634629621
Qualitative Data Analysis: Practical Strategies, Pat Bazeley,54.08,584,4.5,9.0,0.61,0.24,0.15,0.0,0.0,"SAGE Publications Ltd; Second edition (December 15, 2020)",978-1526404763
Big Data in Practice: How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results, Bernard Marr,35.71,320,4.0,127.0,0.56,0.13,0.13,0.1,0.08,"Wiley; 1st edition (May 2, 2016)",978-1119231387
"Learning SQL: The Complete and Comprehensive Introduction to Creating, Managing and Analyzing Databases and Manipulating The Data Using SQL for Beginners", Chad Knowles,14.97,146,4.9,161.0,0.93,0.06,0.01,0.0,0.0,"Independently published (October 23, 2022)",979-8359741125
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Science, Python & Statistics for Beginners)",,14.8,155,4.4,334.0,0.67,0.18,0.09,0.02,0.03,"Independently published (July 21, 2019)",978-1081762469
Learning R: A Step-by-Step Function Guide to Data Analysis, Richard Cotton,40.99,396,4.4,162.0,0.65,0.23,0.06,0.02,0.04,"O'Reilly Media; 1st edition (October 22, 2013)",978-1449357108
"An Introduction to Data Analysis: Quantitative, Qualitative and Mixed Methods", Tiffany Bergin,48.25,296,4.6,46.0,0.7,0.22,0.08,0.0,0.0,"SAGE Publications Ltd; 1st edition (November 28, 2018)",Regulating Alcohol around the World: Policy Cocktails
Data Mesh: Delivering Data-Driven Value at Scale, Zhamak Dehghani,56.87,384,4.5,138.0,0.72,0.14,0.08,0.06,0.0,"O'Reilly Media; 1st edition (April 12, 2022)",-19%
Quantitative Portfolio Management: The Art and Science of Statistical Arbitrage, Michael Isichenko,42.07,304,4.1,40.0,0.63,0.1,0.12,0.06,0.09,"Wiley; 1st edition (August 31, 2021)",978-1119821328
"The Esri Guide to GIS Analysis, Volume 2: Spatial Measurements and Statistics",,32.99,288,4.7,19.0,0.8,0.13,0.07,0.0,0.0,"Esri Press; Second edition (January 5, 2021)",978-1589486089
Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models, Jim Frost,24.99,355,4.5,140.0,0.75,0.13,0.06,0.04,0.02,"Statistics By Jim Publishing (October 16, 2020)",978-1735431185
